code,name,weight,指数贡献[点]
600000,浦发银行,0.0249,-0.0104
600016,民生银行,0.0271,0.0044
600019,宝钢股份,0.0087,-0.0047
600028,中国石化,0.0119,-0.0047
600029,南方航空,0.0041,-0.0018
600030,中信证券,0.0300,-0.014
600031,三一重工,0.0154,-0.0374
600036,招商银行,0.0670,-0.1098
600048,保利地产,0.0182,0.0038
600050,中国联通,0.0095,-0.0033
600104,上汽集团,0.0143,0.0131
600196,复星医药,0.0046,-0.0093
600276,恒瑞医药,0.0493,-0.2076
600309,万华化学,0.0138,-0.0276
600340,华夏幸福,0.0089,0.0003
600519,贵州茅台,0.1048,-0.4172
600585,海螺水泥,0.0167,-0.0422
600690,海尔智家,0.0113,-0.0227
600703,三安光电,0.0070,0.0191
600837,海通证券,0.0197,0.0029
600887,伊利股份,0.0318,-0.0335
601066,中信建投,0.0018,0.0003
601088,中国神华,0.0101,-0.0018
601111,中国国航,0.0045,-0.0048
601138,工业富联,0.0035,0.0059
601166,兴业银行,0.0489,-0.0206
601186,中国铁建,0.0080,-0.0082
601211,国泰君安,0.0133,0.0064
601229,上海银行,0.0116,0
601288,农业银行,0.0247,-0.0136
601318,中国平安,0.1622,-0.1499
601319,中国人保,0.0012,-0.0002
601328,交通银行,0.0270,-0.0146
601336,新华保险,0.0066,0.0004
601390,中国中铁,0.0083,-0.0087
601398,工商银行,0.0223,-0.0191
601601,中国太保,0.0192,-0.01
601628,中国人寿,0.0099,-0.0219
601668,中国建筑,0.0192,-0.0149
601688,华泰证券,0.0110,0
601766,中国中车,0.0121,-0.0052
601800,中国交建,0.0038,-0.0046
601818,光大银行,0.0118,-0.0141
601857,中国石油,0.0081,-0.0043
601888,中国国旅,0.0144,0.0121
601939,建设银行,0.0085,-0.0048
601988,中国银行,0.0136,-0.0075
601989,中国重工,0.0086,-0.0049
603259,药明康德,0.0024,-0.0069
603993,洛阳钼业,0.0045,-0.0025
,,,
