date,open,close,high,low,volume,money
2021-03-08,0.992,0.959,1.01,0.959,62117107.0,61670506.108
2021-03-09,0.959,0.936,0.959,0.922,22349060.0,21069447.641
2021-03-10,0.939,0.935,0.958,0.933,14294626.0,13427469.396
2021-03-11,0.926,0.946,0.946,0.926,26608447.0,25020310.264
2021-03-12,0.953,0.946,0.953,0.926,29357963.0,27526205.979
2021-03-15,0.936,0.928,0.94,0.919,28116041.0,26119680.74
2021-03-16,0.925,0.929,0.934,0.923,22643035.0,21022327.154
2021-03-17,0.929,0.951,0.953,0.929,32168938.0,30399639.856
2021-03-18,0.951,0.944,0.951,0.938,32866812.0,31041346.834
2021-03-19,0.944,0.93,0.944,0.925,35751355.0,33215925.33
2021-03-22,0.93,0.944,0.945,0.919,27203746.0,25424718.657
2021-03-23,0.944,0.937,0.948,0.932,25239671.0,23655361.301
2021-03-24,0.937,0.937,0.939,0.929,27614348.0,25816123.315
2021-03-25,0.937,0.933,0.939,0.93,24721223.0,23084058.443
2021-03-26,0.933,0.931,0.934,0.922,28875615.0,26803962.293
2021-03-29,0.929,0.925,0.938,0.924,25424229.0,23580829.174
2021-03-30,0.925,0.928,0.933,0.919,32261823.0,29888804.97
2021-03-31,0.928,0.922,0.929,0.917,25221907.0,23225276.357
2021-04-01,0.922,0.921,0.923,0.912,32398837.0,29727715.292
2021-04-02,0.913,0.929,0.931,0.913,26380222.0,24412381.668
2021-04-06,0.929,0.929,0.929,0.918,36049107.0,33245944.468
2021-04-07,0.928,0.924,0.928,0.915,33716510.0,31040449.416
2021-04-08,0.923,0.92,0.923,0.916,25147008.0,23158544.066
2021-04-09,0.919,0.911,0.919,0.905,27690418.0,25207255.861
2021-04-12,0.911,0.904,0.92,0.898,33610710.0,30464294.343
2021-04-13,0.902,0.909,0.916,0.902,30919306.0,28129245.661
2021-04-14,0.91,0.894,0.91,0.887,29411608.0,26247827.623
2021-04-15,0.893,0.89,0.894,0.884,32349709.0,28697041.586
2021-04-16,0.889,0.89,0.892,0.886,25692211.0,22857350.297
2021-04-19,0.89,0.905,0.906,0.883,33793232.0,30395953.863
2021-04-20,0.904,0.921,0.928,0.903,34075254.0,31451258.492
2021-04-21,0.92,0.921,0.921,0.91,35818910.0,32869842.04
2021-04-22,0.916,0.918,0.92,0.912,30921803.0,28291323.345
2021-04-23,0.918,0.916,0.921,0.911,29821302.0,27292931.429
2021-04-26,0.915,0.907,0.92,0.905,28130914.0,25609046.154
2021-04-27,0.906,0.903,0.907,0.897,30726618.0,27708606.787
2021-04-28,0.903,0.908,0.909,0.9,28462402.0,25780549.708
2021-04-29,0.908,0.92,0.923,0.905,33598617.0,30790295.523
2021-04-30,0.921,0.917,0.923,0.911,34831715.0,32020863.631
2021-05-06,0.905,0.898,0.914,0.898,33291202.0,30078927.814
2021-05-07,0.898,0.895,0.903,0.889,38105324.0,34165260.833
2021-05-10,0.893,0.869,0.893,0.863,36092212.0,31509611.808
2021-05-11,0.861,0.874,0.874,0.861,32659906.0,28352678.697
2021-05-12,0.873,0.889,0.891,0.873,36514514.0,32235572.313
2021-05-13,0.88,0.878,0.885,0.876,34846407.0,30643459.28
2021-05-14,0.878,0.889,0.893,0.878,40630718.0,35967761.16
2021-05-17,0.89,0.895,0.896,0.889,38285107.0,34195511.056
2021-05-18,0.895,0.893,0.897,0.886,34101511.0,30342555.881
2021-05-19,0.895,0.882,0.896,0.88,32434506.0,28650215.295
2021-05-20,0.881,0.889,0.89,0.879,39009121.0,34431763.002
2021-05-21,0.888,0.881,0.892,0.878,33911312.0,29942143.187
2021-05-24,0.882,0.865,0.883,0.86,42219550.0,36570776.929
2021-05-25,0.865,0.873,0.875,0.857,36519022.0,31669011.567
2021-05-26,0.873,0.874,0.876,0.866,39657895.0,34567449.089
2021-05-27,0.87,0.873,0.876,0.867,40847414.0,35592552.187
2021-05-28,0.872,0.866,0.873,0.862,39772134.0,34428351.9
2021-05-31,0.866,0.862,0.867,0.852,35800008.0,30682325.765
2021-06-01,0.863,0.867,0.868,0.857,39684308.0,34221459.975
2021-06-02,0.87,0.877,0.884,0.867,47688119.0,41789137.646
2021-06-03,0.878,0.872,0.886,0.87,43985008.0,38557695.006
2021-06-04,0.87,0.877,0.88,0.865,42184406.0,36899796.343
2021-06-07,0.876,0.867,0.876,0.862,38952323.0,33728490.384
2021-06-08,0.867,0.87,0.871,0.866,38855708.0,33767072.84
2021-06-09,0.87,0.867,0.874,0.861,51591418.0,44754129.737
2021-06-10,0.867,0.856,0.867,0.853,52205847.0,44684764.708
2021-06-11,0.857,0.849,0.857,0.847,40854041.0,34790660.831
2021-06-15,0.848,0.83,0.848,0.829,34886109.0,29036269.574
2021-06-16,0.833,0.824,0.833,0.821,37878014.0,31283738.957
2021-06-17,0.826,0.814,0.828,0.806,51507805.0,41886129.146
2021-06-18,0.812,0.819,0.82,0.805,45681828.0,37041151.603
2021-06-21,0.815,0.801,0.815,0.799,51054521.0,41097234.239
2021-06-22,0.803,0.809,0.81,0.796,56530809.0,45545142.051
2021-06-23,0.809,0.816,0.817,0.802,57196443.0,46244149.823
2021-06-24,0.817,0.809,0.817,0.808,36468402.0,29544331.62
2021-06-25,0.811,0.817,0.817,0.809,53177822.0,43258688.461
2021-06-28,0.824,0.855,0.855,0.824,92430160.0,78083053.503
2021-06-29,0.855,0.84,0.855,0.833,62655800.0,52606803.7
2021-06-30,0.842,0.838,0.843,0.833,41219505.0,34451151.679
2021-07-01,0.84,0.833,0.842,0.832,46480002.0,38915869.674
2021-07-02,0.829,0.83,0.844,0.825,50805001.0,42400798.329
2021-07-05,0.83,0.827,0.833,0.817,43824702.0,36088626.948
2021-07-06,0.827,0.832,0.833,0.818,44211407.0,36378619.439
2021-07-07,0.83,0.822,0.833,0.818,42952511.0,35277227.623
2021-07-08,0.822,0.816,0.825,0.815,44657063.0,36540792.821
2021-07-09,0.815,0.82,0.824,0.813,44060402.0,35954501.829
2021-07-12,0.82,0.814,0.822,0.808,49100700.0,39926421.3
2021-07-13,0.813,0.815,0.816,0.807,46723613.0,38003773.067
2021-07-14,0.817,0.807,0.817,0.805,48211709.0,39029288.254
2021-07-15,0.806,0.799,0.806,0.795,68484905.0,54700662.283
2021-07-16,0.799,0.785,0.799,0.784,61341200.0,48311124.7
2021-07-19,0.783,0.775,0.783,0.763,70953308.0,54634046.978
2021-07-20,0.771,0.776,0.78,0.771,44267006.0,34265626.047
2021-07-21,0.78,0.77,0.781,0.769,66441805.0,51315774.35
2021-07-22,0.771,0.768,0.775,0.767,55387203.0,42644510.71
2021-07-23,0.768,0.756,0.769,0.754,67933407.0,51478361.4
2021-07-26,0.757,0.745,0.758,0.743,57463403.0,42987321.45
2021-07-27,0.745,0.73,0.749,0.728,59670201.0,44073847.937
2021-07-28,0.729,0.711,0.729,0.705,58975904.0,41949143.535
2021-07-29,0.716,0.715,0.724,0.71,43583301.0,31224305.015
2021-07-30,0.718,0.725,0.725,0.704,53152110.0,38124424.494
2021-08-02,0.717,0.749,0.76,0.712,80430900.0,59790750.293
2021-08-03,0.749,0.757,0.76,0.743,58001000.0,43806422.7
2021-08-04,0.757,0.752,0.76,0.745,49292203.0,36929816.35
2021-08-05,0.749,0.748,0.76,0.747,55572236.0,41783737.616
2021-08-06,0.746,0.749,0.752,0.74,48033501.0,35842231.343
2021-08-09,0.749,0.78,0.781,0.748,90026407.0,69593636.586
2021-08-10,0.775,0.781,0.783,0.765,69584662.0,53939112.445
2021-08-11,0.778,0.777,0.782,0.772,54178800.0,42094197.9
2021-08-12,0.78,0.771,0.791,0.77,52317203.0,40588229.416
2021-08-13,0.768,0.772,0.773,0.76,56507806.0,43253442.396
2021-08-16,0.773,0.769,0.774,0.766,45904500.0,35324752.7
2021-08-17,0.767,0.751,0.771,0.75,47862008.0,36414306.794
2021-08-18,0.747,0.748,0.751,0.741,46430002.0,34564661.387
2021-08-19,0.744,0.739,0.749,0.737,48668402.0,36100884.59
2021-08-20,0.736,0.734,0.739,0.723,51452801.0,37456716.23
2021-08-23,0.73,0.737,0.74,0.728,47860600.0,35249495.9
2021-08-24,0.738,0.737,0.742,0.733,91803604.0,67640197.044
2021-08-25,0.738,0.738,0.742,0.733,63374305.0,46783073.184
2021-08-26,0.741,0.722,0.741,0.721,65566700.0,47581209.1
2021-08-27,0.719,0.717,0.723,0.715,52552315.0,37779853.54
2021-08-30,0.717,0.706,0.717,0.704,63164503.0,44806984.323
2021-08-31,0.707,0.711,0.72,0.706,56242700.0,39994684.8
2021-09-01,0.711,0.722,0.725,0.701,72792305.0,51978392.345
2021-09-02,0.722,0.719,0.722,0.715,62607805.0,44880479.675
2021-09-03,0.719,0.734,0.736,0.716,78701901.0,57273273.228
2021-09-06,0.736,0.743,0.743,0.729,120945002.0,89404059.274
