date,open,close,high,low,volume,money
2021-07-05,0.988,0.989,0.993,0.985,106643113.0,105401595.229
2021-07-06,0.989,0.994,0.998,0.986,21801614.0,21646801.904
2021-07-07,0.99,0.993,0.993,0.987,12179600.0,12057089.7
2021-07-08,0.991,0.993,0.995,0.99,5648213.0,5614730.409
2021-07-09,0.991,0.999,1.0,0.988,5634200.0,5622538.4
2021-07-12,1.005,1.004,1.013,1.002,16684900.0,16775511.5
2021-07-13,1.004,1.011,1.018,1.004,17109700.0,17312853.4
2021-07-14,1.011,1.006,1.013,1.005,1684600.0,1700105.2
2021-07-15,1.003,1.01,1.01,1.0,3580100.0,3607840.9
2021-07-16,1.01,1.011,1.017,1.008,7793400.0,7890616.9
2021-07-19,1.015,1.005,1.015,1.003,2343500.0,2356239.9
2021-07-20,1.0,1.016,1.019,0.997,3188800.0,3229851.3
2021-07-21,1.012,1.016,1.02,1.011,2456600.0,2493277.3
2021-07-22,1.02,1.025,1.032,1.016,4579300.0,4702742.3
2021-07-23,1.025,1.041,1.049,1.01,7962300.0,8307934.6
2021-07-26,1.078,1.04,1.078,1.023,5448800.0,5643273.9
2021-07-27,1.023,1.01,1.047,1.009,2973400.0,3055149.8
2021-07-28,1.01,0.995,1.018,0.982,2503600.0,2497592.0
2021-07-29,1.003,1.002,1.017,0.999,8772700.0,8813307.4
2021-07-30,1.002,1.026,1.028,0.962,4566500.0,4670444.3
2021-08-02,1.028,1.049,1.049,1.018,27444100.0,28291634.9
2021-08-03,1.045,1.065,1.073,1.045,24853700.0,26417348.9
2021-08-04,1.054,1.061,1.065,1.048,22403600.0,23648701.7
2021-08-05,1.06,1.052,1.06,1.046,11636100.0,12234021.2
2021-08-06,1.052,1.058,1.061,1.04,15808300.0,16676281.6
2021-08-09,1.058,1.063,1.068,1.052,17367300.0,18389194.6
2021-08-10,1.062,1.068,1.073,1.06,16877900.0,17997353.6
2021-08-11,1.077,1.08,1.09,1.068,15287100.0,16522120.8
2021-08-12,1.08,1.066,1.08,1.064,21033900.0,22498060.9
2021-08-13,1.066,1.063,1.071,1.057,21138600.0,22518710.2
2021-08-16,1.072,1.073,1.075,1.066,15628100.0,16731766.5
