,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300033.SZ,20191127,91.36,92.49,90.29,91.15,92.0,-0.8499999999999943,-0.9239,40826.68,372588.247
1,300033.SZ,20191126,93.27,93.63,90.41,92.0,92.93,-0.9300000000000068,-1.0008,78267.15,716429.282
2,300033.SZ,20191125,94.8,95.26,92.1,92.93,95.27,-2.339999999999989,-2.4562,62427.7,581705.495
3,300033.SZ,20191122,94.94,97.79,94.55,95.27,94.92,0.3499999999999943,0.3687,80760.98,774535.575
4,300033.SZ,20191121,95.1,96.7,94.49,94.92,95.7,-0.7800000000000011,-0.815,47411.53,451777.904
5,300033.SZ,20191120,97.5,97.84,95.69,95.7,97.2,-1.5,-1.5432,63682.65,615764.543
6,300033.SZ,20191119,95.3,97.65,94.83,97.2,95.35,1.8500000000000085,1.9402,87914.37,849887.778
7,300033.SZ,20191118,92.55,96.55,92.3,95.35,93.17,2.1799999999999926,2.3398,79891.76,759369.163
8,300033.SZ,20191115,94.5,94.95,92.81,93.17,94.5,-1.3299999999999983,-1.4074,59543.9,557315.035
9,300033.SZ,20191114,95.2,95.5,93.8,94.5,94.64,-0.14000000000000057,-0.1479,63252.81,598809.605
10,300033.SZ,20191113,94.97,95.26,94.04,94.64,94.98,-0.3400000000000034,-0.358,40769.92,385591.33
11,300033.SZ,20191112,94.29,94.99,92.34,94.98,94.3,0.6800000000000068,0.7211,65407.53,614766.853
12,300033.SZ,20191111,94.0,95.64,93.34,94.3,95.23,-0.9300000000000068,-0.9766,57594.54,544238.396
13,300033.SZ,20191108,96.98,97.37,95.04,95.23,95.08,0.15000000000000568,0.1578,84398.18,812140.62
14,300033.SZ,20191107,94.1,97.43,92.88,95.08,99.98,-4.900000000000006,-4.901,180850.06,1724599.457
15,300033.SZ,20191106,103.37,103.83,99.83,99.98,103.73,-3.75,-3.6152,116816.13,1181483.693
16,300033.SZ,20191105,99.56,105.75,99.17,103.73,99.03,4.700000000000003,4.746,184451.27,1895289.151
