,ts_code,trade_date,close,open,high,low,vol,amount
0,601318.SH,20191129,83.62,85.1,86.02,82.69,237910597.0,20139753678.0
1,601318.SH,20191122,84.89,87.88,89.1,84.68,248396826.0,21630145349.0
2,601318.SH,20191115,87.9,88.5,88.59,87.53,190642424.0,16792572555.0
3,601318.SH,20191108,89.17,90.35,91.26,89.17,230296651.0,20736773695.0
4,601318.SH,20191101,90.04,88.39,90.06,87.67,254373399.0,22530846941.0
5,601318.SH,20191025,88.0,89.47,90.79,87.1,248021895.0,22050032979.0
6,601318.SH,20191018,89.75,90.8,92.45,89.68,269073206.0,24478981232.0
7,601318.SH,20191011,89.9,87.14,90.27,87.1,170729649.0,15124647228.0
8,601318.SH,20190930,87.04,87.94,88.19,87.01,46078453.0,4034487316.0
9,601318.SH,20190927,88.3,89.44,89.77,87.88,212352706.0,18837635842.0
10,601318.SH,20190920,89.85,92.3,92.33,89.01,248702086.0,22457065912.0
11,601318.SH,20190912,92.34,91.37,92.5,88.75,243585828.0,22023390918.0
12,601318.SH,20190906,90.7,87.0,90.7,86.88,345083006.0,30691805543.0
13,601318.SH,20190830,87.32,88.3,88.8,86.17,330317487.0,28926762365.0
14,601318.SH,20190823,89.89,88.3,90.26,87.25,292779619.0,25872731595.0
15,601318.SH,20190816,87.46,84.46,88.3,83.53,327720506.0,28198730627.0
16,601318.SH,20190809,84.35,85.06,85.86,82.15,324416965.0,27293000935.0
17,601318.SH,20190802,86.03,89.84,90.9,85.5,258236849.0,22754593683.0
18,601318.SH,20190726,90.1,88.32,90.17,87.1,232023212.0,20602357597.0
19,601318.SH,20190719,88.35,88.1,88.77,86.33,244515232.0,21382523365.0
20,601318.SH,20190712,88.75,89.99,89.99,86.99,279255098.0,24684482018.0
21,601318.SH,20190705,90.85,90.6,92.47,89.35,328777179.0,29897389490.0
22,601318.SH,20190628,88.61,87.9,89.32,85.32,351369880.0,30744191636.0
23,601318.SH,20190621,87.97,79.8,88.56,79.5,433794462.0,36893068125.0
24,601318.SH,20190614,79.75,77.79,81.91,77.49,293520743.0,23527110071.0
25,601318.SH,20190606,77.11,79.77,80.2,76.88,194312407.0,15231519785.0
26,601318.SH,20190531,79.0,76.25,80.98,75.35,343699141.0,26996236338.0
27,601318.SH,20190524,76.5,78.5,79.28,75.05,304995770.0,23577321115.0
28,601318.SH,20190517,79.1,79.25,81.53,77.85,374506580.0,29831085240.0
29,601318.SH,20190510,81.38,82.8,83.6,76.11,616975660.0,49312908304.0
30,601318.SH,20190430,86.1,83.88,87.48,83.3,186447805.0,15991390580.0
31,601318.SH,20190426,83.11,87.22,88.09,82.8,372781181.0,31712874431.0
32,601318.SH,20190419,87.0,82.23,87.0,80.9,384451039.0,32318350726.0
33,601318.SH,20190412,80.44,80.7,83.62,79.66,358488882.0,29098952398.0
34,601318.SH,20190404,80.2,78.0,80.96,77.5,349513470.0,27666958986.0
35,601318.SH,20190329,77.1,73.41,77.1,72.15,429890889.0,31887094153.0
36,601318.SH,20190322,74.72,74.43,77.48,73.45,486519082.0,36741865095.0
37,601318.SH,20190315,73.85,68.8,75.5,68.22,543775745.0,38989191214.0
38,601318.SH,20190308,68.7,73.0,75.1,68.25,463433812.0,33146118080.0
39,601318.SH,20190301,72.39,68.22,73.0,68.14,631532632.0,44608901339.0
40,601318.SH,20190222,67.02,63.9,67.27,63.78,320673423.0,21078993808.0
41,601318.SH,20190215,63.25,62.88,65.4,62.88,243588095.0,15663680573.0
42,601318.SH,20190201,63.21,61.8,63.78,60.78,241703503.0,15044509273.0
43,601318.SH,20190125,61.29,59.93,61.78,59.22,247614830.0,14988633325.0
44,601318.SH,20190118,59.92,57.74,60.02,56.9,256251025.0,15024449002.0
45,601318.SH,20190111,58.07,57.09,58.29,55.2,327584908.0,18625899319.0
46,601318.SH,20190104,56.59,56.04,57.0,54.94,264810952.0,14814444846.0
