,ts_code,trade_date,close,open,high,low,vol,amount
0,000157.SZ,20191129,5.95,5.92,6.14,5.91,167271428.0,1010030000.94
1,000157.SZ,20191122,5.93,5.97,6.17,5.88,180069099.0,1091615794.06
2,000157.SZ,20191115,5.99,6.0,6.16,5.78,197184504.0,1178718277.9
3,000157.SZ,20191108,5.97,5.93,6.14,5.87,183666452.0,1104186194.61
4,000157.SZ,20191101,5.93,6.01,6.1,5.76,148100674.0,872472763.08
5,000157.SZ,20191025,6.01,5.88,6.01,5.84,123855769.0,734596978.96
6,000157.SZ,20191018,5.94,6.11,6.15,5.86,187038917.0,1123308432.82
7,000157.SZ,20191011,6.09,5.77,6.11,5.72,203501094.0,1221260606.41
8,000157.SZ,20190930,5.7,5.66,5.81,5.66,21902035.0,125401911.42
9,000157.SZ,20190927,5.69,5.88,5.89,5.66,147142810.0,845238658.49
10,000157.SZ,20190920,5.91,5.99,5.99,5.71,172378551.0,1007727748.12
11,000157.SZ,20190912,5.95,6.06,6.06,5.86,167741315.0,995558044.89
12,000157.SZ,20190906,5.99,5.35,6.02,5.3,337174737.0,1947660783.0
13,000157.SZ,20190830,5.3,5.42,5.5,5.29,189187515.0,1018579824.6
14,000157.SZ,20190823,5.55,5.42,5.59,5.36,168668642.0,924236786.16
15,000157.SZ,20190816,5.35,5.36,5.54,5.21,187444226.0,1011471805.99
16,000157.SZ,20190809,5.37,5.74,5.74,5.27,219760604.0,1202389235.98
17,000157.SZ,20190802,5.95,6.47,6.47,5.88,312271502.0,1915115735.55
18,000157.SZ,20190726,6.45,6.23,6.45,6.03,297611706.0,1866712272.25
19,000157.SZ,20190719,6.19,5.77,6.24,5.64,365810405.0,2209376347.26
20,000157.SZ,20190712,5.6,5.66,5.67,5.42,193518714.0,1065774647.87
21,000157.SZ,20190705,5.65,6.07,6.1,5.6,362509790.0,2097626558.7
22,000157.SZ,20190628,6.01,5.95,6.33,5.87,284477957.0,1713341560.8
23,000157.SZ,20190621,5.94,5.58,5.96,5.54,289136798.0,1669865146.56
24,000157.SZ,20190614,5.55,5.23,5.68,5.21,307917042.0,1685869066.79
25,000157.SZ,20190606,5.22,5.38,5.41,5.19,178248657.0,944093522.97
26,000157.SZ,20190531,5.37,5.36,5.47,5.21,312894073.0,1668732461.42
27,000157.SZ,20190524,5.34,5.15,5.35,5.07,333839857.0,1741392831.63
28,000157.SZ,20190517,5.12,4.7,5.34,4.69,404320501.0,2067404013.59
29,000157.SZ,20190510,4.77,4.8,4.88,4.55,290784359.0,1375447198.67
30,000157.SZ,20190430,4.95,4.86,5.02,4.86,102985502.0,511065576.1
31,000157.SZ,20190426,4.86,5.35,5.36,4.83,268526001.0,1367149440.74
32,000157.SZ,20190419,5.32,5.5,5.56,5.21,320782798.0,1713690920.69
33,000157.SZ,20190412,5.35,5.29,5.67,5.27,614756283.0,3336072365.11
34,000157.SZ,20190404,5.05,4.53,5.09,4.53,372618139.0,1807445066.27
35,000157.SZ,20190329,4.48,4.52,4.62,4.33,204755083.0,914084361.64
36,000157.SZ,20190322,4.57,4.53,4.68,4.49,268108810.0,1226819961.63
37,000157.SZ,20190315,4.48,4.16,4.5,4.16,291388985.0,1268415903.14
38,000157.SZ,20190308,4.17,4.24,4.43,4.13,319044103.0,1383550510.22
39,000157.SZ,20190301,4.23,4.1,4.3,4.1,239376264.0,1008613459.96
40,000157.SZ,20190222,4.1,3.95,4.11,3.94,140655817.0,568938897.49
41,000157.SZ,20190215,3.95,3.75,3.99,3.75,136164383.0,532730760.19
42,000157.SZ,20190201,3.75,3.75,3.78,3.67,89896563.0,334234919.12
43,000157.SZ,20190125,3.74,3.72,3.75,3.66,77700144.0,288212575.39
44,000157.SZ,20190118,3.7,3.64,3.71,3.62,85596406.0,314273199.47
45,000157.SZ,20190111,3.63,3.58,3.68,3.57,73663086.0,266876760.69
46,000157.SZ,20190104,3.56,3.57,3.58,3.45,46300498.0,163034216.4
