,代 码,转债名称,现 价,涨跌幅,正股名称,正股价,正股涨跌,PB,转股价,转股价值,溢价率,纯债价值,评级,期权价值,回售触发价,强赎触发价,转债占比,机构持仓,到期时间,剩余年限,到期税前收益,到期税后收益,回售收益,成交额(万元),操作
0,123031,晶瑞转债,154.089,4.26%,晶瑞股份,32.70,1.21%,8.85,18.380,177.91,-13.39%,购买,A+,购买,12.87,23.89,3.7%,会员,25-08-28,5.715,-4.90%,-5.36%,购买,14610.83,
1,113539,圣达转债,125.750,1.22%,圣达生物,38.80,-0.77%,4.93,28.780,134.82,-6.73%,购买,A+,购买,20.15,37.41,6.9%,会员,25-07-02,5.559,-0.62%,-1.27%,购买,2649.37,
2,113538,安图转债,146.540,-0.68%,安图生物 R,98.52,-0.98%,17.83,64.110,153.67,-4.64%,购买,AA,购买,44.88,83.34,1.7%,会员,25-06-27,5.545,-4.33%,-4.78%,购买,1307.00,
3,128020,水晶转债,138.000,1.85%,水晶光电 R,17.07,2.40%,4.59,12.230*,139.57,-1.12%,购买,AA,购买,8.56,15.90,4.9%,会员,23-11-16,3.932,-5.43%,-5.91%,购买,15022.45,
4,128069,华森转债,108.080,-0.02%,华森制药,19.76,-2.52%,7.66,18.080,109.29,-1.11%,购买,AA-,购买,12.66,23.50,3.8%,会员,25-06-24,5.537,2.02%,1.37%,购买,1296.50,
5,128068,和而转债,137.990,3.74%,和而泰 R,12.68,3.76%,5.79,9.090,139.49,-1.08%,购买,AA-,购买,6.36,11.82,4.8%,会员,25-06-04,5.482,-3.60%,-4.01%,购买,10232.92,
6,128041,盛路转债,150.013,-0.79%,盛路通信 R,10.31,-0.67%,2.51,6.850,150.51,-0.33%,购买,AA,购买,4.79,8.90,0.8%,会员,24-07-16,4.597,-5.72%,-6.25%,购买,110.30,
7,123022,长信转债,153.158,3.28%,长信科技 R,9.60,2.89%,4.01,6.250,153.60,-0.29%,购买,AA,购买,4.38,8.12,3.1%,会员,25-03-18,5.268,-5.34%,-5.82%,购买,27548.01,
8,123003,蓝思转债,134.778,0.73%,蓝思科技 R,14.11,1.51%,3.25,10.440**,135.15,-0.28%,购买,AA+,购买,7.31,13.57,3.4%,会员,23-12-08,3.992,-5.08%,-5.50%,购买,6440.46,
9,128052,凯龙转债,178.490,-0.61%,凯龙股份 R,12.10,-0.49%,2.61,6.770,178.73,-0.13%,购买,AA,购买,4.74,8.80,1.6%,会员,24-12-21,5.030,-8.45%,-8.92%,购买,2992.79,
10,123011,德尔转债,121.765,0.18%,德尔股份,42.24,-0.38%,2.25,34.660,121.87,-0.09%,购买,AA-,购买,24.26,45.06,8.6%,会员,24-07-18,4.603,-0.86%,-1.51%,购买,870.58,
11,127008,特发转债,191.810,1.11%,特发信息 R,10.77,0.84%,3.27,5.610,191.98,-0.09%,购买,AA,购买,3.93,7.29,0.8%,会员,23-11-16,3.932,-13.10%,-13.52%,购买,1205.12,
12,110049,海尔转债 !,121.330,-0.16%,海尔智家 R,17.23,-0.35%,2.46,14.200,121.34,-0.01%,购买,AAA,购买,9.94,17.04,0.6%,会员,24-12-17,5.019,-1.97%,-2.33%,购买,10099.11,
13,113523,伟明转债,126.790,0.25%,伟明环保 R,22.15,0.73%,5.47,17.470,126.79,0.00%,购买,AA,购买,12.23,22.71,1.5%,会员,24-12-10,5.000,-1.98%,-2.50%,购买,191.02,
14,128060,中装转债,146.210,0.08%,中装建设,9.02,0.33%,2.48,6.190,145.72,0.34%,购买,AA,购买,4.33,8.05,1.3%,会员,25-03-26,5.290,-4.79%,-5.21%,购买,345.80,
15,123020,富祥转债,120.684,0.32%,富祥股份,17.95,0.79%,3.55,14.930,120.23,0.38%,购买,AA-,购买,10.45,19.41,7.7%,会员,25-03-01,5.222,0.07%,-0.62%,购买,124.19,
16,113514,威帝转债,115.880,-0.57%,威帝股份,5.58,-2.96%,3.55,4.850,115.05,0.72%,购买,A+,购买,3.40,6.30,4.5%,会员,23-07-20,3.605,-1.18%,-1.73%,购买,2109.40,
17,123002,国祯转债,127.080,0.06%,国祯环保,10.79,1.12%,2.13,8.600*,125.47,1.28%,购买,AA,购买,6.02,11.18,6.9%,会员,23-11-24,3.953,-3.69%,-4.12%,购买,276.84,
18,113520,百合转债,138.930,-0.75%,梦百合,19.55,-2.25%,2.98,14.280,136.90,1.48%,购买,AA-,购买,10.00,18.56,5.0%,会员,24-11-08,4.912,-3.81%,-4.33%,购买,565.20,
