StrategyID:030
RunTime:14:30:00
VRDate:13
AVDate:5
Date,Time,Signal,Index,Shares,Price,CurPL,CumPL
2021-07-01,14:30:00,BUY,512480.XSHG,1000,1.32,1,1
2021-07-02,14:30:00,SELL,512480.XSHG,1000,1.287,0.975,0.975
2021-07-05,14:30:00,BUY,399417.XSHE,1000,4403.76,1,0.975
2021-07-14,14:30:00,SELL,399417.XSHE,1000,4892.32,1.11094,1.08317
2021-07-20,14:30:00,BUY,399967.XSHE,1000,12023.39,1,1.08317
2021-07-21,14:30:00,SELL,399967.XSHE,1000,12187.4,1.01364,1.09794
2021-07-21,14:30:00,BUY,399417.XSHE,1000,5010.67,1,1.09794
2021-07-23,14:30:00,SELL,399417.XSHE,1000,5024.35,1.00273,1.10094
2021-07-23,14:30:00,BUY,399967.XSHE,1000,12529.49,1,1.10094
2021-07-28,14:30:00,SELL,399967.XSHE,1000,11719.74,0.93537,1.02979
2021-07-29,14:30:00,BUY,512480.XSHG,1000,1.5190000000000001,1,1.02979
2021-08-02,14:30:00,SELL,512480.XSHG,1000,1.486,0.97828,1.00742
2021-08-05,14:30:00,BUY,399967.XSHE,1000,13463.0,1,1.00742
2021-08-12,14:30:00,SELL,399967.XSHE,1000,13529.68,1.00495,1.01241
2021-08-12,14:30:00,BUY,399417.XSHE,1000,5137.93,1,1.01241
2021-08-13,14:30:00,SELL,399417.XSHE,1000,5107.13,0.99401,1.00635
2021-08-16,14:30:00,BUY,512200.XSHG,1000,0.77,1,1.00635
2021-08-18,14:30:00,SELL,512200.XSHG,1000,0.772,1.0026,1.00897
2021-08-18,14:30:00,BUY,399975.XSHE,1000,857.32,1,1.00897
2021-08-19,14:30:00,SELL,399975.XSHE,1000,846.12,0.98694,0.99579
2021-08-19,14:30:00,BUY,399967.XSHE,1000,13676.89,1,0.99579
2021-08-20,14:30:00,SELL,399967.XSHE,1000,13583.65,0.99318,0.989
2021-08-24,14:30:00,BUY,399975.XSHE,1000,859.24,1,0.989
2021-08-25,14:30:00,SELL,399975.XSHE,1000,846.0,0.98459,0.97376
2021-08-30,14:30:00,BUY,399967.XSHE,1000,14004.28,1,0.97376
2021-08-31,15:00:00,SELL,399967.XSHE,100,14114.69,1.00788,0.98143
