Date,PositionIndex,MarketValue
2014-01-02,399006.XSHE,1.000976195839904
2014-01-03,399006.XSHE,1.015874446196591
2014-01-06,EMPTY,0.9973417436359543
2014-01-07,399006.XSHE,1.0001003248556066
2014-01-08,399006.XSHE,1.0391050362562668
2014-01-09,399006.XSHE,1.0207785905128395
2014-01-10,EMPTY,0.9995974199683778
2014-01-13,EMPTY,0.9995974199683778
2014-01-14,399006.XSHE,1.0059450732587925
2014-01-15,399006.XSHE,1.0162851419671601
2014-01-16,EMPTY,1.0002077712463022
2014-01-17,EMPTY,1.0002077712463022
2014-01-20,EMPTY,1.0002077712463022
2014-01-21,399006.XSHE,1.0044120044169065
2014-01-22,399006.XSHE,1.0219641425603962
2014-01-23,399006.XSHE,1.043227997594742
2014-01-24,399006.XSHE,1.0595738277487037
2014-01-27,399006.XSHE,1.0547485957905909
2014-01-28,EMPTY,1.0506585692935515
2014-01-29,399006.XSHE,1.0510940288552644
2014-01-30,399006.XSHE,1.050707734082777
2014-02-07,399006.XSHE,1.0764911542609739
2014-02-10,399006.XSHE,1.0910439318717675
2014-02-11,000905.XSHG,1.0730674195902135
2014-02-12,000905.XSHG,1.0849095092740535
2014-02-13,000905.XSHG,1.0688702232465739
2014-02-14,000905.XSHG,1.087210603760698
2014-02-17,000905.XSHG,1.1078757471619005
2014-02-18,000905.XSHG,1.1065503167375934
2014-02-19,000905.XSHG,1.1066265815834364
2014-02-20,EMPTY,1.095289417775523
2014-02-21,EMPTY,1.095289417775523
2014-02-24,EMPTY,1.095289417775523
2014-02-25,EMPTY,1.095289417775523
2014-02-26,EMPTY,1.095289417775523
2014-02-27,EMPTY,1.095289417775523
2014-02-28,EMPTY,1.095289417775523
2014-03-03,EMPTY,1.095289417775523
2014-03-04,EMPTY,1.095289417775523
2014-03-05,EMPTY,1.095289417775523
2014-03-06,EMPTY,1.095289417775523
2014-03-07,EMPTY,1.095289417775523
2014-03-10,EMPTY,1.095289417775523
2014-03-11,EMPTY,1.095289417775523
2014-03-12,EMPTY,1.095289417775523
2014-03-13,EMPTY,1.095289417775523
2014-03-14,EMPTY,1.095289417775523
2014-03-17,399006.XSHE,1.098717774793411
2014-03-18,399006.XSHE,1.1048382473003995
2014-03-19,399006.XSHE,1.0903960144831801
2014-03-20,EMPTY,1.0627311812802676
2014-03-21,000016.XSHG,1.064417871530767
2014-03-24,000016.XSHG,1.0741963128537062
2014-03-25,000016.XSHG,1.0688090823553433
2014-03-26,EMPTY,1.0656756190020447
2014-03-27,000016.XSHG,1.0579246467043535
2014-03-28,EMPTY,1.05932603405361
2014-03-31,EMPTY,1.05932603405361
2014-04-01,000016.XSHG,1.0585787039613446
2014-04-02,000016.XSHG,1.0716282371109012
2014-04-03,000016.XSHG,1.0617045557895697
2014-04-04,000016.XSHG,1.0709312080825382
2014-04-08,000016.XSHG,1.1028508260617953
2014-04-09,000016.XSHG,1.1000698958146156
2014-04-10,000016.XSHG,1.1284684393206994
2014-04-11,000016.XSHG,1.1248108333883622
2014-04-14,EMPTY,1.1176105953840363
2014-04-15,EMPTY,1.1176105953840363
2014-04-16,EMPTY,1.1176105953840363
2014-04-17,EMPTY,1.1176105953840363
2014-04-18,EMPTY,1.1176105953840363
2014-04-21,399006.XSHE,1.1135689731988003
2014-04-22,EMPTY,1.0819545063276215
2014-04-23,EMPTY,1.0819545063276215
2014-04-24,EMPTY,1.0819545063276215
2014-04-25,EMPTY,1.0819545063276215
2014-04-28,EMPTY,1.0819545063276215
2014-04-29,EMPTY,1.0819545063276215
2014-04-30,EMPTY,1.0819545063276215
2014-05-05,EMPTY,1.0819545063276215
2014-05-06,EMPTY,1.0819545063276215
2014-05-07,EMPTY,1.0819545063276215
2014-05-08,EMPTY,1.0819545063276215
2014-05-09,EMPTY,1.0819545063276215
2014-05-12,EMPTY,1.0819545063276215
2014-05-13,EMPTY,1.0819545063276215
2014-05-14,EMPTY,1.0819545063276215
2014-05-15,EMPTY,1.0819545063276215
2014-05-16,EMPTY,1.0819545063276215
2014-05-19,EMPTY,1.0819545063276215
2014-05-20,EMPTY,1.0819545063276215
2014-05-21,EMPTY,1.0819545063276215
2014-05-22,EMPTY,1.0819545063276215
2014-05-23,000905.XSHG,1.0860473758592044
2014-05-26,399006.XSHE,1.0966296730006866
2014-05-27,399006.XSHE,1.0846069000025265
2014-05-28,399006.XSHE,1.1117494724686767
2014-05-29,EMPTY,1.092669132448116
2014-05-30,399006.XSHE,1.0904850682206857
2014-06-03,399006.XSHE,1.0917260138044529
2014-06-04,EMPTY,1.087763260906956
2014-06-05,399006.XSHE,1.091305729412145
2014-06-06,399006.XSHE,1.0872560438255314
2014-06-09,EMPTY,1.072562850593782
2014-06-10,399006.XSHE,1.0703334339704749
2014-06-11,399006.XSHE,1.0810219845900182
2014-06-12,399006.XSHE,1.0781363921520497
2014-06-13,399006.XSHE,1.093149378562192
2014-06-16,399006.XSHE,1.103331962288502
2014-06-17,399006.XSHE,1.0889593402276077
2014-06-18,EMPTY,1.081219627907687
2014-06-19,EMPTY,1.081219627907687
2014-06-20,EMPTY,1.081219627907687
2014-06-23,399006.XSHE,1.0820224331038517
2014-06-24,399006.XSHE,1.0885084632035575
2014-06-25,399006.XSHE,1.0799796515650963
2014-06-26,399006.XSHE,1.1018859002842005
2014-06-27,399006.XSHE,1.1039127846903587
2014-06-30,399006.XSHE,1.1165430565389278
2014-07-01,399006.XSHE,1.122130898646885
2014-07-02,399006.XSHE,1.1286487230117854
2014-07-03,000905.XSHG,1.1321425852208382
2014-07-04,000905.XSHG,1.1278924560775092
2014-07-07,000905.XSHG,1.1306892607424035
2014-07-08,000905.XSHG,1.137792524956768
2014-07-09,EMPTY,1.1260955161216153
2014-07-10,EMPTY,1.1260955161216153
2014-07-11,000905.XSHG,1.129293042920977
2014-07-14,000905.XSHG,1.1464016328509543
2014-07-15,000905.XSHG,1.1470489849023588
2014-07-16,EMPTY,1.1395469873196318
2014-07-17,EMPTY,1.1395469873196318
2014-07-18,EMPTY,1.1395469873196318
2014-07-21,EMPTY,1.1395469873196318
2014-07-22,000905.XSHG,1.139717248927758
2014-07-23,000905.XSHG,1.1324099556478469
2014-07-24,000016.XSHG,1.1311408158404554
