StrategyID:020,,,,,,,,,,
Date,Time,Signal,Index,Shares,Price,,,,,
2020-1-2,14:30:00,BUY,000300.XSHG,1000,4154.22,,,,,
2020-1-3,14:30:00,SELL,000300.XSHG,1000,4153.18,0.999749652,-0.03%,,,1.000333959
2020-1-3,14:30:00,BUY,518880.XSHG,1000,3.422,,,,,1.003233192
2020-1-9,14:30:00,SELL,518880.XSHG,1000,3.424,1.000584454,0.06%,1.000333959,,1.008906237
2020-1-9,14:30:00,BUY,000300.XSHG,1000,4154.21,,,,,1.174693114
2020-1-10,14:30:00,SELL,000300.XSHG,1000,4166.25,1.002898265,0.29%,1.003233192,,1.174744102
2020-1-10,14:30:00,BUY,513100.XSHG,1000,3.36,,,,,1.151970387
2020-1-21,14:30:00,SELL,513100.XSHG,1000,3.379,1.005654762,0.57%,1.008906237,,1.139394291
2020-2-4,14:30:00,BUY,513100.XSHG,1000,3.414,,,,,1.14158863
2020-2-17,14:30:00,SELL,513100.XSHG,1000,3.975,1.164323374,16.43%,1.174693114,,1.139060194
2020-2-21,14:30:00,BUY,000300.XSHG,1000,4146.98,,,,,1.123231296
2020-2-24,14:30:00,SELL,000300.XSHG,1000,4147.16,1.000043405,0.00%,1.174744102,,1.100382816
2020-2-24,14:30:00,BUY,518880.XSHG,1000,3.714,,,,,1.181477535
2020-2-25,14:30:00,SELL,518880.XSHG,1000,3.642,0.980613893,-1.94%,1.151970387,,1.159327064
2020-2-26,14:30:00,BUY,518880.XSHG,1000,3.664,,,,,1.16354634
2020-2-28,14:30:00,SELL,518880.XSHG,1000,3.624,0.989082969,-1.09%,1.139394291,,1.197404431
2020-3-2,14:30:00,BUY,000300.XSHG,1000,4086.44,,,,,1.214328875
2020-3-4,14:30:00,SELL,000300.XSHG,1000,4094.31,1.001925882,0.19%,1.14158863,,1.354040037
2020-3-4,14:30:00,BUY,518880.XSHG,1000,3.612,,,,,1.326685692
