,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent
18,11:30:00,7,5,11.75%,-2%,4,75.00%
16,11:30:00,5,5,10.31%,-7%,6,50.00%
19,11:30:00,7,7,9.54%,-4%,4,50.00%
36,15:00:00,5,5,9.06%,-9%,6,50.00%
22,13:10:00,7,5,8.94%,-5%,5,60.00%
23,13:10:00,7,7,8.94%,-5%,5,60.00%
38,15:00:00,7,5,8.77%,-3%,5,80.00%
17,11:30:00,5,7,8.13%,-9%,6,50.00%
31,14:00:00,7,7,7.65%,-6%,5,80.00%
27,13:30:00,7,7,7.02%,-6%,5,60.00%
20,13:10:00,5,5,6.82%,-10%,6,33.33%
21,13:10:00,5,7,6.82%,-10%,6,33.33%
29,14:00:00,5,7,6.77%,-11%,5,40.00%
12,11:00:00,5,5,6.45%,-10%,7,42.86%
25,13:30:00,5,7,5.52%,-11%,6,33.33%
26,13:30:00,7,5,5.26%,-8%,6,66.67%
0,9:40:00,5,5,5.24%,-12%,7,42.86%
1,9:40:00,5,7,5.24%,-12%,7,42.86%
9,10:30:00,5,7,5.20%,-10%,7,42.86%
8,10:30:00,5,5,5.09%,-11%,7,42.86%
32,14:30:00,5,5,5.02%,-13%,6,33.33%
33,14:30:00,5,7,5.02%,-13%,6,33.33%
34,14:30:00,7,5,4.78%,-8%,5,60.00%
35,14:30:00,7,7,4.78%,-8%,5,60.00%
10,10:30:00,7,5,4.70%,-8%,6,50.00%
11,10:30:00,7,7,4.70%,-8%,6,50.00%
4,10:00:00,5,5,4.58%,-13%,6,33.33%
5,10:00:00,5,7,4.58%,-13%,6,33.33%
14,11:00:00,7,5,4.41%,-10%,6,50.00%
30,14:00:00,7,5,4.16%,-9%,5,80.00%
24,13:30:00,5,5,3.79%,-13%,7,42.86%
28,14:00:00,5,5,3.74%,-14%,6,50.00%
37,15:00:00,5,7,2.59%,-15%,6,33.33%
6,10:00:00,7,5,2.37%,-12%,5,40.00%
7,10:00:00,7,7,2.37%,-12%,5,40.00%
39,15:00:00,7,7,2.32%,-9%,5,60.00%
13,11:00:00,5,7,1.63%,-14%,7,28.57%
2,9:40:00,7,5,0.30%,-12%,6,33.33%
3,9:40:00,7,7,0.30%,-12%,6,33.33%
15,11:00:00,7,7,-0.31%,-14%,6,33.33%
