,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent,,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent,,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent,,,
0,14:30:00,4,4,6.68%,-12.5%,9,44.44%,,11.95%,-5.29%,8,50.00%,,16.52%,-13.31%,14,50.00%,,11.60%,-12.91%
1,14:30:00,4,7,8.58%,-12.5%,9,44.44%,,8.98%,-7.58%,11,36.36%,,19.05%,-13.31%,14,50.00%,,13.82%,-12.91%
2,14:30:00,4,10,7.78%,-13.2%,8,37.50%,,9.66%,-7.00%,10,40.00%,,25.00%,-10.99%,13,53.85%,,16.39%,-12.08%
3,14:30:00,4,13,7.78%,-13.2%,8,37.50%,,9.66%,-7.00%,10,40.00%,,19.05%,-13.31%,14,50.00%,,13.42%,-13.24%
4,14:30:00,4,16,8.58%,-12.5%,9,44.44%,,9.69%,-6.98%,10,40.00%,,14.20%,-13.96%,13,46.15%,,11.39%,-13.24%
5,14:30:00,4,19,8.58%,-12.5%,9,44.44%,,9.07%,-6.82%,10,40.00%,,13.39%,-14.57%,14,42.86%,,10.99%,-13.55%
6,14:30:00,4,22,8.58%,-12.5%,9,44.44%,,9.66%,-7.00%,10,40.00%,,13.39%,-14.57%,14,42.86%,,10.99%,-13.55%
7,14:30:00,4,25,8.58%,-12.5%,9,44.44%,,9.66%,-7.00%,10,40.00%,,19.05%,-13.31%,14,50.00%,,13.82%,-12.91%
8,14:30:00,4,28,8.58%,-12.5%,9,44.44%,,9.66%,-7.00%,10,40.00%,,19.05%,-13.31%,14,50.00%,,13.82%,-12.91%
9,14:30:00,7,4,0.17%,-11.7%,9,33.33%,,10.19%,-4.35%,8,37.50%,,2.25%,-13.79%,13,53.85%,,1.21%,-12.72%
10,14:30:00,7,7,0.55%,-11.3%,8,37.50%,,9.63%,-4.92%,5,60.00%,,-1.82%,-16.88%,12,50.00%,,-0.64%,-14.10%
11,14:30:00,7,10,0.55%,-11.3%,8,37.50%,,4.61%,-9.28%,5,60.00%,,-0.89%,-16.09%,12,58.33%,,-0.17%,-13.71%
12,14:30:00,7,13,-0.16%,-12.0%,8,37.50%,,4.25%,-9.59%,6,50.00%,,-0.89%,-16.09%,12,58.33%,,-0.53%,-14.02%
13,14:30:00,7,16,-0.16%,-12.0%,8,37.50%,,4.01%,-9.79%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.19%,-14.08%
14,14:30:00,7,19,-0.16%,-12.0%,8,37.50%,,4.01%,-9.79%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.19%,-14.08%
15,14:30:00,7,22,-0.16%,-12.0%,8,37.50%,,3.69%,-10.08%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.19%,-14.08%
16,14:30:00,7,25,-0.43%,-12.2%,9,33.33%,,3.69%,-10.08%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.32%,-14.20%
17,14:30:00,7,28,-0.43%,-12.2%,9,33.33%,,3.69%,-10.08%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.32%,-14.20%
18,14:30:00,10,4,0.35%,-10.3%,8,50.00%,,11.58%,-3.72%,9,55.56%,,23.09%,-7.66%,9,66.67%,,11.72%,-8.98%
19,14:30:00,10,7,2.61%,-10.6%,7,57.14%,,8.98%,-5.49%,7,57.14%,,19.19%,-8.65%,8,62.50%,,10.90%,-9.63%
20,14:30:00,10,10,0.88%,-12.1%,7,57.14%,,3.92%,-9.88%,7,57.14%,,17.51%,-7.94%,7,85.71%,,9.20%,-10.03%
21,14:30:00,10,13,-0.78%,-11.3%,7,57.14%,,5.98%,-9.70%,7,57.14%,,27.20%,-7.68%,8,75.00%,,13.21%,-9.49%
22,14:30:00,10,16,1.92%,-8.9%,6,66.67%,,9.67%,-6.94%,6,66.67%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
23,14:30:00,10,19,1.92%,-8.9%,6,66.67%,,9.05%,-7.07%,5,60.00%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
24,14:30:00,10,22,1.92%,-8.9%,6,66.67%,,9.64%,-6.94%,6,66.67%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
25,14:30:00,10,25,1.92%,-8.9%,6,66.67%,,9.64%,-6.94%,6,66.67%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
26,14:30:00,10,28,1.92%,-8.9%,6,66.67%,,9.64%,-6.94%,6,66.67%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
27,14:30:00,13,4,-0.92%,-13.3%,8,37.50%,,11.70%,-2.89%,11,54.55%,,25.55%,-8.17%,7,57.14%,,12.32%,-10.72%
28,14:30:00,13,7,1.58%,-12.5%,7,42.86%,,11.93%,-2.93%,9,55.56%,,21.58%,-8.92%,5,40.00%,,11.58%,-10.72%
29,14:30:00,13,10,-0.14%,-14.0%,7,42.86%,,5.68%,-8.35%,8,50.00%,,19.86%,-7.94%,4,75.00%,,9.86%,-10.97%
30,14:30:00,13,13,-1.79%,-15.4%,7,42.86%,,6.13%,-9.49%,9,44.44%,,29.84%,-11.40%,4,75.00%,,14.03%,-13.41%
31,14:30:00,13,16,0.89%,-13.1%,6,50.00%,,6.52%,-9.15%,11,45.45%,,31.21%,-11.40%,3,100.00%,,16.05%,-12.26%
32,14:30:00,13,19,0.89%,-13.1%,6,50.00%,,9.11%,-6.94%,10,40.00%,,31.21%,-11.40%,3,100.00%,,16.05%,-12.26%
33,14:30:00,13,22,0.83%,-13.1%,7,42.86%,,8.77%,-7.23%,10,40.00%,,31.21%,-11.40%,3,100.00%,,16.02%,-12.26%
34,14:30:00,13,25,0.89%,-13.1%,6,50.00%,,8.77%,-7.23%,10,40.00%,,31.21%,-11.40%,3,100.00%,,16.05%,-12.26%
35,14:30:00,13,28,0.89%,-13.1%,6,50.00%,,8.77%,-7.23%,10,40.00%,,31.21%,-11.40%,3,100.00%,,16.05%,-12.26%
36,14:30:00,16,4,0.18%,-10.1%,12,58.33%,,6.50%,-7.41%,9,33.33%,,25.70%,-8.17%,9,55.56%,,12.94%,-9.14%
37,14:30:00,16,7,0.19%,-11.1%,10,50.00%,,9.41%,-5.12%,7,42.86%,,22.95%,-8.92%,5,60.00%,,11.57%,-10.02%
38,14:30:00,16,10,-0.86%,-12.1%,9,44.44%,,3.77%,-10.67%,7,57.14%,,21.21%,-7.54%,4,75.00%,,10.18%,-9.80%
